mean: -0.00123, std: 0.00012, params: {'update_momentum': 1.2, 'update_learning_rate': 1.5}
mean: -0.00117, std: 0.00008, params: {'update_momentum': 1.3, 'update_learning_rate': 1.5}
mean: -0.00115, std: 0.00002, params: {'update_momentum': 1.4, 'update_learning_rate': 1.5}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 1.5, 'update_learning_rate': 1.5}
mean: -0.00121, std: 0.00011, params: {'update_momentum': 1.6, 'update_learning_rate': 1.5}
mean: -0.00120, std: 0.00004, params: {'update_momentum': 1.7, 'update_learning_rate': 1.5}
mean: -0.00107, std: 0.00006, params: {'update_momentum': 1.8, 'update_learning_rate': 1.5}
mean: -0.00112, std: 0.00006, params: {'update_momentum': 1.9, 'update_learning_rate': 1.5}
mean: -0.00121, std: 0.00011, params: {'update_momentum': 2.0, 'update_learning_rate': 1.5}
mean: -0.00110, std: 0.00006, params: {'update_momentum': 0.1, 'update_learning_rate': 1.6}
mean: -0.00115, std: 0.00010, params: {'update_momentum': 0.2, 'update_learning_rate': 1.6}
mean: -0.00107, std: 0.00006, params: {'update_momentum': 0.3, 'update_learning_rate': 1.6}
mean: -0.00126, std: 0.00008, params: {'update_momentum': 0.4, 'update_learning_rate': 1.6}
mean: -0.00118, std: 0.00013, params: {'update_momentum': 0.5, 'update_learning_rate': 1.6}
mean: -0.00114, std: 0.00015, params: {'update_momentum': 0.6, 'update_learning_rate': 1.6}
mean: -0.00127, std: 0.00008, params: {'update_momentum': 0.7, 'update_learning_rate': 1.6}
mean: -0.00112, std: 0.00006, params: {'update_momentum': 0.8, 'update_learning_rate': 1.6}
mean: -0.00126, std: 0.00008, params: {'update_momentum': 0.9, 'update_learning_rate': 1.6}
mean: -0.00122, std: 0.00014, params: {'update_momentum': 1.0, 'update_learning_rate': 1.6}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 1.1, 'update_learning_rate': 1.6}
mean: -0.00125, std: 0.00008, params: {'update_momentum': 1.2, 'update_learning_rate': 1.6}
mean: -0.00125, std: 0.00008, params: {'update_momentum': 1.3, 'update_learning_rate': 1.6}
mean: -0.00126, std: 0.00008, params: {'update_momentum': 1.4, 'update_learning_rate': 1.6}
mean: -0.00119, std: 0.00014, params: {'update_momentum': 1.5, 'update_learning_rate': 1.6}
mean: -0.00122, std: 0.00015, params: {'update_momentum': 1.6, 'update_learning_rate': 1.6}
mean: -0.00123, std: 0.00011, params: {'update_momentum': 1.7, 'update_learning_rate': 1.6}
mean: -0.00121, std: 0.00012, params: {'update_momentum': 1.8, 'update_learning_rate': 1.6}
mean: -0.00114, std: 0.00005, params: {'update_momentum': 1.9, 'update_learning_rate': 1.6}
mean: -0.00124, std: 0.00012, params: {'update_momentum': 2.0, 'update_learning_rate': 1.6}
mean: -0.00118, std: 0.00006, params: {'update_momentum': 0.1, 'update_learning_rate': 1.7}
mean: -0.00118, std: 0.00012, params: {'update_momentum': 0.2, 'update_learning_rate': 1.7}
mean: -0.00119, std: 0.00008, params: {'update_momentum': 0.3, 'update_learning_rate': 1.7}
mean: -0.00121, std: 0.00012, params: {'update_momentum': 0.4, 'update_learning_rate': 1.7}
mean: -0.00117, std: 0.00003, params: {'update_momentum': 0.5, 'update_learning_rate': 1.7}
mean: -0.00118, std: 0.00008, params: {'update_momentum': 0.6, 'update_learning_rate': 1.7}
mean: -0.00116, std: 0.00008, params: {'update_momentum': 0.7, 'update_learning_rate': 1.7}
mean: -0.00120, std: 0.00006, params: {'update_momentum': 0.8, 'update_learning_rate': 1.7}
mean: -0.00123, std: 0.00011, params: {'update_momentum': 0.9, 'update_learning_rate': 1.7}
mean: -0.00118, std: 0.00008, params: {'update_momentum': 1.0, 'update_learning_rate': 1.7}
mean: -0.00122, std: 0.00004, params: {'update_momentum': 1.1, 'update_learning_rate': 1.7}
mean: -0.00121, std: 0.00006, params: {'update_momentum': 1.2, 'update_learning_rate': 1.7}
mean: -0.00122, std: 0.00006, params: {'update_momentum': 1.3, 'update_learning_rate': 1.7}
mean: -0.00120, std: 0.00006, params: {'update_momentum': 1.4, 'update_learning_rate': 1.7}
mean: -0.00123, std: 0.00005, params: {'update_momentum': 1.5, 'update_learning_rate': 1.7}
mean: -0.00120, std: 0.00014, params: {'update_momentum': 1.6, 'update_learning_rate': 1.7}
mean: -0.00122, std: 0.00004, params: {'update_momentum': 1.7, 'update_learning_rate': 1.7}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 1.8, 'update_learning_rate': 1.7}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 1.9, 'update_learning_rate': 1.7}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 2.0, 'update_learning_rate': 1.7}
mean: -0.00123, std: 0.00005, params: {'update_momentum': 0.1, 'update_learning_rate': 1.8}
mean: -0.00125, std: 0.00010, params: {'update_momentum': 0.2, 'update_learning_rate': 1.8}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 0.3, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00004, params: {'update_momentum': 0.4, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00005, params: {'update_momentum': 0.5, 'update_learning_rate': 1.8}
mean: -0.00123, std: 0.00005, params: {'update_momentum': 0.6, 'update_learning_rate': 1.8}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 0.7, 'update_learning_rate': 1.8}
mean: -0.00126, std: 0.00009, params: {'update_momentum': 0.8, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00004, params: {'update_momentum': 0.9, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00006, params: {'update_momentum': 1.0, 'update_learning_rate': 1.8}
mean: -0.00121, std: 0.00004, params: {'update_momentum': 1.1, 'update_learning_rate': 1.8}
mean: -0.00121, std: 0.00004, params: {'update_momentum': 1.2, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00006, params: {'update_momentum': 1.3, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00004, params: {'update_momentum': 1.4, 'update_learning_rate': 1.8}
mean: -0.00121, std: 0.00005, params: {'update_momentum': 1.5, 'update_learning_rate': 1.8}
mean: -0.00125, std: 0.00010, params: {'update_momentum': 1.6, 'update_learning_rate': 1.8}
mean: -0.00119, std: 0.00004, params: {'update_momentum': 1.7, 'update_learning_rate': 1.8}
mean: -0.00120, std: 0.00003, params: {'update_momentum': 1.8, 'update_learning_rate': 1.8}
mean: -0.00120, std: 0.00003, params: {'update_momentum': 1.9, 'update_learning_rate': 1.8}
mean: -0.00122, std: 0.00005, params: {'update_momentum': 2.0, 'update_learning_rate': 1.8}
mean: -0.00124, std: 0.00010, params: {'update_momentum': 0.1, 'update_learning_rate': 1.9}
mean: -0.00119, std: 0.00004, params: {'update_momentum': 0.2, 'update_learning_rate': 1.9}
mean: -0.00120, std: 0.00004, params: {'update_momentum': 0.3, 'update_learning_rate': 1.9}
mean: -0.00129, std: 0.00007, params: {'update_momentum': 0.4, 'update_learning_rate': 1.9}
mean: -0.00120, std: 0.00003, params: {'update_momentum': 0.5, 'update_learning_rate': 1.9}
mean: -0.00128, std: 0.00007, params: {'update_momentum': 0.6, 'update_learning_rate': 1.9}
mean: -0.00129, std: 0.00008, params: {'update_momentum': 0.7, 'update_learning_rate': 1.9}
mean: -0.00122, std: 0.00005, params: {'update_momentum': 0.8, 'update_learning_rate': 1.9}
mean: -0.00127, std: 0.00009, params: {'update_momentum': 0.9, 'update_learning_rate': 1.9}
mean: -0.00129, std: 0.00007, params: {'update_momentum': 1.0, 'update_learning_rate': 1.9}
mean: -0.00129, std: 0.00008, params: {'update_momentum': 1.1, 'update_learning_rate': 1.9}
mean: -0.00128, std: 0.00007, params: {'update_momentum': 1.2, 'update_learning_rate': 1.9}
mean: -0.00121, std: 0.00015, params: {'update_momentum': 1.3, 'update_learning_rate': 1.9}
mean: -0.00128, std: 0.00007, params: {'update_momentum': 1.4, 'update_learning_rate': 1.9}
mean: -0.00129, std: 0.00007, params: {'update_momentum': 1.5, 'update_learning_rate': 1.9}
mean: -0.00123, std: 0.00003, params: {'update_momentum': 1.6, 'update_learning_rate': 1.9}
mean: -0.00115, std: 0.00009, params: {'update_momentum': 1.7, 'update_learning_rate': 1.9}
mean: -0.00122, std: 0.00014, params: {'update_momentum': 1.8, 'update_learning_rate': 1.9}
mean: -0.00116, std: 0.00015, params: {'update_momentum': 1.9, 'update_learning_rate': 1.9}
mean: -0.00116, std: 0.00002, params: {'update_momentum': 2.0, 'update_learning_rate': 1.9}
mean: -0.00123, std: 0.00015, params: {'update_momentum': 0.1, 'update_learning_rate': 2.0}
mean: -0.00115, std: 0.00009, params: {'update_momentum': 0.2, 'update_learning_rate': 2.0}
mean: -0.00120, std: 0.00006, params: {'update_momentum': 0.3, 'update_learning_rate': 2.0}
mean: -0.00118, std: 0.00010, params: {'update_momentum': 0.4, 'update_learning_rate': 2.0}
mean: -0.00114, std: 0.00005, params: {'update_momentum': 0.5, 'update_learning_rate': 2.0}
mean: -0.00120, std: 0.00001, params: {'update_momentum': 0.6, 'update_learning_rate': 2.0}
mean: -0.00112, std: 0.00007, params: {'update_momentum': 0.7, 'update_learning_rate': 2.0}
mean: -0.00121, std: 0.00013, params: {'update_momentum': 0.8, 'update_learning_rate': 2.0}
mean: -0.00126, std: 0.00010, params: {'update_momentum': 0.9, 'update_learning_rate': 2.0}
mean: -0.00116, std: 0.00005, params: {'update_momentum': 1.0, 'update_learning_rate': 2.0}
mean: -0.00119, std: 0.00009, params: {'update_momentum': 1.1, 'update_learning_rate': 2.0}
mean: -0.00114, std: 0.00012, params: {'update_momentum': 1.2, 'update_learning_rate': 2.0}
mean: -0.00117, std: 0.00005, params: {'update_momentum': 1.3, 'update_learning_rate': 2.0}
mean: -0.00119, std: 0.00009, params: {'update_momentum': 1.4, 'update_learning_rate': 2.0}
mean: -0.00118, std: 0.00016, params: {'update_momentum': 1.5, 'update_learning_rate': 2.0}
mean: -0.00113, std: 0.00006, params: {'update_momentum': 1.6, 'update_learning_rate': 2.0}
mean: -0.00114, std: 0.00006, params: {'update_momentum': 1.7, 'update_learning_rate': 2.0}
mean: -0.00116, std: 0.00005, params: {'update_momentum': 1.8, 'update_learning_rate': 2.0}
mean: -0.00112, std: 0.00008, params: {'update_momentum': 1.9, 'update_learning_rate': 2.0}
mean: -0.00118, std: 0.00009, params: {'update_momentum': 2.0, 'update_learning_rate': 2.0}
The best estimator was:

{'update_momentum': 0.8, 'update_learning_rate': 0.1}
