mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 20, 'update_learning_rate': 2}
mean: -0.00103, std: 0.00001, params: {'hidden0_num_units': 24, 'hidden1_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00105, std: 0.00012, params: {'hidden0_num_units': 24, 'hidden1_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00100, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 21, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00012, params: {'hidden0_num_units': 24, 'hidden1_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00097, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00102, std: 0.00007, params: {'hidden0_num_units': 24, 'hidden1_num_units': 22, 'update_learning_rate': 2}
mean: -0.00097, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00102, std: 0.00014, params: {'hidden0_num_units': 24, 'hidden1_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00003, params: {'hidden0_num_units': 24, 'hidden1_num_units': 23, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00012, params: {'hidden0_num_units': 24, 'hidden1_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00106, std: 0.00010, params: {'hidden0_num_units': 24, 'hidden1_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00004, params: {'hidden0_num_units': 24, 'hidden1_num_units': 24, 'update_learning_rate': 2}
mean: -0.00113, std: 0.00007, params: {'hidden0_num_units': 24, 'hidden1_num_units': 25, 'update_learning_rate': 0.5}
mean: -0.00113, std: 0.00007, params: {'hidden0_num_units': 24, 'hidden1_num_units': 25, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 25, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00010, params: {'hidden0_num_units': 24, 'hidden1_num_units': 26, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00008, params: {'hidden0_num_units': 24, 'hidden1_num_units': 26, 'update_learning_rate': 0.9}
mean: -0.00112, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 26, 'update_learning_rate': 2}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 27, 'update_learning_rate': 0.5}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 27, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 27, 'update_learning_rate': 2}
mean: -0.00112, std: 0.00007, params: {'hidden0_num_units': 24, 'hidden1_num_units': 28, 'update_learning_rate': 0.5}
mean: -0.00112, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 28, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00009, params: {'hidden0_num_units': 24, 'hidden1_num_units': 28, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 24, 'hidden1_num_units': 29, 'update_learning_rate': 0.5}
mean: -0.00112, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 29, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00009, params: {'hidden0_num_units': 24, 'hidden1_num_units': 29, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00009, params: {'hidden0_num_units': 25, 'hidden1_num_units': 18, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00009, params: {'hidden0_num_units': 25, 'hidden1_num_units': 18, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 25, 'hidden1_num_units': 18, 'update_learning_rate': 2}
mean: -0.00105, std: 0.00008, params: {'hidden0_num_units': 25, 'hidden1_num_units': 19, 'update_learning_rate': 0.5}
mean: -0.00103, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 19, 'update_learning_rate': 0.9}
mean: -0.00103, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 19, 'update_learning_rate': 2}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 25, 'hidden1_num_units': 20, 'update_learning_rate': 0.5}
mean: -0.00104, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 20, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 25, 'hidden1_num_units': 20, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00009, params: {'hidden0_num_units': 25, 'hidden1_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00106, std: 0.00009, params: {'hidden0_num_units': 25, 'hidden1_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00008, params: {'hidden0_num_units': 25, 'hidden1_num_units': 21, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00008, params: {'hidden0_num_units': 25, 'hidden1_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00008, params: {'hidden0_num_units': 25, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00003, params: {'hidden0_num_units': 25, 'hidden1_num_units': 22, 'update_learning_rate': 2}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 23, 'update_learning_rate': 2}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 24, 'update_learning_rate': 2}
mean: -0.00111, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 25, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 25, 'update_learning_rate': 0.9}
mean: -0.00112, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 25, 'update_learning_rate': 2}
mean: -0.00111, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 26, 'update_learning_rate': 0.5}
mean: -0.00112, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 26, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00005, params: {'hidden0_num_units': 25, 'hidden1_num_units': 26, 'update_learning_rate': 2}
mean: -0.00112, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 27, 'update_learning_rate': 0.5}
mean: -0.00110, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 27, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 27, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 28, 'update_learning_rate': 0.5}
mean: -0.00109, std: 0.00006, params: {'hidden0_num_units': 25, 'hidden1_num_units': 28, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 28, 'update_learning_rate': 2}
mean: -0.00110, std: 0.00007, params: {'hidden0_num_units': 25, 'hidden1_num_units': 29, 'update_learning_rate': 0.5}
mean: -0.00109, std: 0.00009, params: {'hidden0_num_units': 25, 'hidden1_num_units': 29, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00004, params: {'hidden0_num_units': 25, 'hidden1_num_units': 29, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 18, 'update_learning_rate': 0.5}
mean: -0.00110, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 18, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 18, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 19, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 19, 'update_learning_rate': 0.9}
mean: -0.00106, std: 0.00004, params: {'hidden0_num_units': 26, 'hidden1_num_units': 19, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 20, 'update_learning_rate': 0.5}
mean: -0.00105, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 20, 'update_learning_rate': 0.9}
mean: -0.00105, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 20, 'update_learning_rate': 2}
mean: -0.00105, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00009, params: {'hidden0_num_units': 26, 'hidden1_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 21, 'update_learning_rate': 2}
mean: -0.00110, std: 0.00004, params: {'hidden0_num_units': 26, 'hidden1_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 22, 'update_learning_rate': 2}
mean: -0.00111, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 23, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00109, std: 0.00008, params: {'hidden0_num_units': 26, 'hidden1_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 24, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 25, 'update_learning_rate': 0.5}
mean: -0.00106, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 25, 'update_learning_rate': 0.9}
mean: -0.00106, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 25, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 26, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 26, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 26, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00007, params: {'hidden0_num_units': 26, 'hidden1_num_units': 27, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 27, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 27, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 28, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 28, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 26, 'hidden1_num_units': 28, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 29, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 29, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 26, 'hidden1_num_units': 29, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 18, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 18, 'update_learning_rate': 0.9}
mean: -0.00105, std: 0.00004, params: {'hidden0_num_units': 27, 'hidden1_num_units': 18, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 19, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 19, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 19, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 20, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 20, 'update_learning_rate': 0.9}
mean: -0.00103, std: 0.00009, params: {'hidden0_num_units': 27, 'hidden1_num_units': 20, 'update_learning_rate': 2}
mean: -0.00104, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00102, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00102, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 21, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00102, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00103, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 22, 'update_learning_rate': 2}
mean: -0.00104, std: 0.00008, params: {'hidden0_num_units': 27, 'hidden1_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00103, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00102, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 23, 'update_learning_rate': 2}
mean: -0.00102, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00102, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00102, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 24, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 25, 'update_learning_rate': 0.5}
mean: -0.00104, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 25, 'update_learning_rate': 0.9}
mean: -0.00105, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 25, 'update_learning_rate': 2}
mean: -0.00105, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 26, 'update_learning_rate': 0.5}
mean: -0.00104, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 26, 'update_learning_rate': 0.9}
mean: -0.00104, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 26, 'update_learning_rate': 2}
mean: -0.00106, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 27, 'update_learning_rate': 0.5}
mean: -0.00105, std: 0.00008, params: {'hidden0_num_units': 27, 'hidden1_num_units': 27, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 27, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 28, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 28, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 28, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00007, params: {'hidden0_num_units': 27, 'hidden1_num_units': 29, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 27, 'hidden1_num_units': 29, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 27, 'hidden1_num_units': 29, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 18, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 18, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 18, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 19, 'update_learning_rate': 0.5}
mean: -0.00110, std: 0.00009, params: {'hidden0_num_units': 28, 'hidden1_num_units': 19, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 19, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 28, 'hidden1_num_units': 20, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 28, 'hidden1_num_units': 20, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 28, 'hidden1_num_units': 20, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 28, 'hidden1_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00109, std: 0.00005, params: {'hidden0_num_units': 28, 'hidden1_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00005, params: {'hidden0_num_units': 28, 'hidden1_num_units': 21, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00005, params: {'hidden0_num_units': 28, 'hidden1_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00109, std: 0.00009, params: {'hidden0_num_units': 28, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00113, std: 0.00006, params: {'hidden0_num_units': 28, 'hidden1_num_units': 22, 'update_learning_rate': 2}
mean: -0.00113, std: 0.00006, params: {'hidden0_num_units': 28, 'hidden1_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00008, params: {'hidden0_num_units': 28, 'hidden1_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00003, params: {'hidden0_num_units': 28, 'hidden1_num_units': 23, 'update_learning_rate': 2}
mean: -0.00112, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00008, params: {'hidden0_num_units': 28, 'hidden1_num_units': 24, 'update_learning_rate': 2}
mean: -0.00111, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 25, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 25, 'update_learning_rate': 0.9}
mean: -0.00112, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 25, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00010, params: {'hidden0_num_units': 28, 'hidden1_num_units': 26, 'update_learning_rate': 0.5}
mean: -0.00112, std: 0.00007, params: {'hidden0_num_units': 28, 'hidden1_num_units': 26, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00008, params: {'hidden0_num_units': 28, 'hidden1_num_units': 26, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 28, 'hidden1_num_units': 27, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00005, params: {'hidden0_num_units': 28, 'hidden1_num_units': 27, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00004, params: {'hidden0_num_units': 28, 'hidden1_num_units': 27, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00004, params: {'hidden0_num_units': 28, 'hidden1_num_units': 28, 'update_learning_rate': 0.5}
mean: -0.00105, std: 0.00002, params: {'hidden0_num_units': 28, 'hidden1_num_units': 28, 'update_learning_rate': 0.9}
mean: -0.00105, std: 0.00002, params: {'hidden0_num_units': 28, 'hidden1_num_units': 28, 'update_learning_rate': 2}
mean: -0.00105, std: 0.00002, params: {'hidden0_num_units': 28, 'hidden1_num_units': 29, 'update_learning_rate': 0.5}
mean: -0.00100, std: 0.00005, params: {'hidden0_num_units': 28, 'hidden1_num_units': 29, 'update_learning_rate': 0.9}
mean: -0.00103, std: 0.00004, params: {'hidden0_num_units': 28, 'hidden1_num_units': 29, 'update_learning_rate': 2}
mean: -0.00100, std: 0.00005, params: {'hidden0_num_units': 29, 'hidden1_num_units': 18, 'update_learning_rate': 0.5}
mean: -0.00103, std: 0.00005, params: {'hidden0_num_units': 29, 'hidden1_num_units': 18, 'update_learning_rate': 0.9}
mean: -0.00102, std: 0.00004, params: {'hidden0_num_units': 29, 'hidden1_num_units': 18, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00004, params: {'hidden0_num_units': 29, 'hidden1_num_units': 19, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00012, params: {'hidden0_num_units': 29, 'hidden1_num_units': 19, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00012, params: {'hidden0_num_units': 29, 'hidden1_num_units': 19, 'update_learning_rate': 2}
mean: -0.00113, std: 0.00009, params: {'hidden0_num_units': 29, 'hidden1_num_units': 20, 'update_learning_rate': 0.5}
mean: -0.00113, std: 0.00009, params: {'hidden0_num_units': 29, 'hidden1_num_units': 20, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00003, params: {'hidden0_num_units': 29, 'hidden1_num_units': 20, 'update_learning_rate': 2}
mean: -0.00113, std: 0.00009, params: {'hidden0_num_units': 29, 'hidden1_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00105, std: 0.00002, params: {'hidden0_num_units': 29, 'hidden1_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00012, params: {'hidden0_num_units': 29, 'hidden1_num_units': 21, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00109, std: 0.00005, params: {'hidden0_num_units': 29, 'hidden1_num_units': 22, 'update_learning_rate': 2}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00003, params: {'hidden0_num_units': 29, 'hidden1_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00009, params: {'hidden0_num_units': 29, 'hidden1_num_units': 23, 'update_learning_rate': 2}
mean: -0.00114, std: 0.00007, params: {'hidden0_num_units': 29, 'hidden1_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00114, std: 0.00007, params: {'hidden0_num_units': 29, 'hidden1_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00114, std: 0.00007, params: {'hidden0_num_units': 29, 'hidden1_num_units': 24, 'update_learning_rate': 2}
mean: -0.00112, std: 0.00008, params: {'hidden0_num_units': 29, 'hidden1_num_units': 25, 'update_learning_rate': 0.5}
mean: -0.00110, std: 0.00009, params: {'hidden0_num_units': 29, 'hidden1_num_units': 25, 'update_learning_rate': 0.9}
mean: -0.00111, std: 0.00003, params: {'hidden0_num_units': 29, 'hidden1_num_units': 25, 'update_learning_rate': 2}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 29, 'hidden1_num_units': 26, 'update_learning_rate': 0.5}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 26, 'update_learning_rate': 0.9}
mean: -0.00107, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 26, 'update_learning_rate': 2}
mean: -0.00108, std: 0.00005, params: {'hidden0_num_units': 29, 'hidden1_num_units': 27, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 27, 'update_learning_rate': 0.9}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 27, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 28, 'update_learning_rate': 0.5}
mean: -0.00111, std: 0.00009, params: {'hidden0_num_units': 29, 'hidden1_num_units': 28, 'update_learning_rate': 0.9}
mean: -0.00110, std: 0.00005, params: {'hidden0_num_units': 29, 'hidden1_num_units': 28, 'update_learning_rate': 2}
mean: -0.00109, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 29, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 29, 'hidden1_num_units': 29, 'update_learning_rate': 0.9}
mean: -0.00106, std: 0.00008, params: {'hidden0_num_units': 29, 'hidden1_num_units': 29, 'update_learning_rate': 2}
The best estimator was:

{'hidden0_num_units': 24, 'hidden1_num_units': 22, 'update_learning_rate': 0.9}
