mean: -0.00083, std: 0.00007, params: {'hidden0_num_units': 17, 'hidden1_num_units': 22}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 23}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 24}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 18, 'hidden1_num_units': 4}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 5}
mean: -0.00083, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 6}
mean: -0.00085, std: 0.00005, params: {'hidden0_num_units': 18, 'hidden1_num_units': 7}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 18, 'hidden1_num_units': 8}
mean: -0.00083, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 9}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 10}
mean: -0.00085, std: 0.00005, params: {'hidden0_num_units': 18, 'hidden1_num_units': 11}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 12}
mean: -0.00083, std: 0.00003, params: {'hidden0_num_units': 18, 'hidden1_num_units': 13}
mean: -0.00085, std: 0.00005, params: {'hidden0_num_units': 18, 'hidden1_num_units': 14}
mean: -0.00083, std: 0.00003, params: {'hidden0_num_units': 18, 'hidden1_num_units': 15}
mean: -0.00081, std: 0.00005, params: {'hidden0_num_units': 18, 'hidden1_num_units': 16}
mean: -0.00085, std: 0.00005, params: {'hidden0_num_units': 18, 'hidden1_num_units': 17}
mean: -0.00083, std: 0.00003, params: {'hidden0_num_units': 18, 'hidden1_num_units': 18}
mean: -0.00079, std: 0.00006, params: {'hidden0_num_units': 18, 'hidden1_num_units': 19}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 20}
mean: -0.00079, std: 0.00006, params: {'hidden0_num_units': 18, 'hidden1_num_units': 21}
mean: -0.00082, std: 0.00007, params: {'hidden0_num_units': 18, 'hidden1_num_units': 22}
mean: -0.00079, std: 0.00002, params: {'hidden0_num_units': 18, 'hidden1_num_units': 23}
mean: -0.00077, std: 0.00005, params: {'hidden0_num_units': 18, 'hidden1_num_units': 24}
mean: -0.00080, std: 0.00002, params: {'hidden0_num_units': 19, 'hidden1_num_units': 4}
mean: -0.00081, std: 0.00004, params: {'hidden0_num_units': 19, 'hidden1_num_units': 5}
mean: -0.00077, std: 0.00007, params: {'hidden0_num_units': 19, 'hidden1_num_units': 6}
mean: -0.00077, std: 0.00007, params: {'hidden0_num_units': 19, 'hidden1_num_units': 7}
mean: -0.00079, std: 0.00008, params: {'hidden0_num_units': 19, 'hidden1_num_units': 8}
mean: -0.00075, std: 0.00005, params: {'hidden0_num_units': 19, 'hidden1_num_units': 9}
mean: -0.00081, std: 0.00008, params: {'hidden0_num_units': 19, 'hidden1_num_units': 10}
mean: -0.00075, std: 0.00005, params: {'hidden0_num_units': 19, 'hidden1_num_units': 11}
mean: -0.00084, std: 0.00005, params: {'hidden0_num_units': 19, 'hidden1_num_units': 12}
mean: -0.00078, std: 0.00003, params: {'hidden0_num_units': 19, 'hidden1_num_units': 13}
mean: -0.00078, std: 0.00009, params: {'hidden0_num_units': 19, 'hidden1_num_units': 14}
mean: -0.00081, std: 0.00008, params: {'hidden0_num_units': 19, 'hidden1_num_units': 15}
mean: -0.00080, std: 0.00003, params: {'hidden0_num_units': 19, 'hidden1_num_units': 16}
mean: -0.00084, std: 0.00005, params: {'hidden0_num_units': 19, 'hidden1_num_units': 17}
mean: -0.00081, std: 0.00005, params: {'hidden0_num_units': 19, 'hidden1_num_units': 18}
mean: -0.00084, std: 0.00005, params: {'hidden0_num_units': 19, 'hidden1_num_units': 19}
mean: -0.00080, std: 0.00003, params: {'hidden0_num_units': 19, 'hidden1_num_units': 20}
mean: -0.00084, std: 0.00011, params: {'hidden0_num_units': 19, 'hidden1_num_units': 21}
mean: -0.00083, std: 0.00004, params: {'hidden0_num_units': 19, 'hidden1_num_units': 22}
mean: -0.00081, std: 0.00007, params: {'hidden0_num_units': 19, 'hidden1_num_units': 23}
mean: -0.00082, std: 0.00006, params: {'hidden0_num_units': 19, 'hidden1_num_units': 24}
mean: -0.00085, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 4}
mean: -0.00083, std: 0.00005, params: {'hidden0_num_units': 20, 'hidden1_num_units': 5}
mean: -0.00081, std: 0.00006, params: {'hidden0_num_units': 20, 'hidden1_num_units': 6}
mean: -0.00081, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 7}
mean: -0.00091, std: 0.00006, params: {'hidden0_num_units': 20, 'hidden1_num_units': 8}
mean: -0.00089, std: 0.00010, params: {'hidden0_num_units': 20, 'hidden1_num_units': 9}
mean: -0.00089, std: 0.00009, params: {'hidden0_num_units': 20, 'hidden1_num_units': 10}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 20, 'hidden1_num_units': 11}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 20, 'hidden1_num_units': 12}
mean: -0.00092, std: 0.00002, params: {'hidden0_num_units': 20, 'hidden1_num_units': 13}
mean: -0.00090, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 14}
mean: -0.00090, std: 0.00001, params: {'hidden0_num_units': 20, 'hidden1_num_units': 15}
mean: -0.00089, std: 0.00006, params: {'hidden0_num_units': 20, 'hidden1_num_units': 16}
mean: -0.00088, std: 0.00005, params: {'hidden0_num_units': 20, 'hidden1_num_units': 17}
mean: -0.00091, std: 0.00006, params: {'hidden0_num_units': 20, 'hidden1_num_units': 18}
mean: -0.00090, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 19}
mean: -0.00088, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 20}
mean: -0.00089, std: 0.00003, params: {'hidden0_num_units': 20, 'hidden1_num_units': 21}
mean: -0.00088, std: 0.00005, params: {'hidden0_num_units': 20, 'hidden1_num_units': 22}
mean: -0.00087, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 23}
mean: -0.00087, std: 0.00007, params: {'hidden0_num_units': 20, 'hidden1_num_units': 24}
mean: -0.00086, std: 0.00004, params: {'hidden0_num_units': 21, 'hidden1_num_units': 4}
mean: -0.00086, std: 0.00004, params: {'hidden0_num_units': 21, 'hidden1_num_units': 5}
mean: -0.00086, std: 0.00007, params: {'hidden0_num_units': 21, 'hidden1_num_units': 6}
mean: -0.00086, std: 0.00005, params: {'hidden0_num_units': 21, 'hidden1_num_units': 7}
mean: -0.00089, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 8}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 9}
mean: -0.00088, std: 0.00009, params: {'hidden0_num_units': 21, 'hidden1_num_units': 10}
mean: -0.00085, std: 0.00004, params: {'hidden0_num_units': 21, 'hidden1_num_units': 11}
mean: -0.00086, std: 0.00005, params: {'hidden0_num_units': 21, 'hidden1_num_units': 12}
mean: -0.00089, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 13}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 14}
mean: -0.00087, std: 0.00003, params: {'hidden0_num_units': 21, 'hidden1_num_units': 15}
mean: -0.00087, std: 0.00003, params: {'hidden0_num_units': 21, 'hidden1_num_units': 16}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 17}
mean: -0.00090, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 18}
mean: -0.00086, std: 0.00010, params: {'hidden0_num_units': 21, 'hidden1_num_units': 19}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 21, 'hidden1_num_units': 20}
mean: -0.00086, std: 0.00010, params: {'hidden0_num_units': 21, 'hidden1_num_units': 21}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 21, 'hidden1_num_units': 22}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 21, 'hidden1_num_units': 23}
mean: -0.00079, std: 0.00005, params: {'hidden0_num_units': 21, 'hidden1_num_units': 24}
mean: -0.00086, std: 0.00009, params: {'hidden0_num_units': 22, 'hidden1_num_units': 4}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 22, 'hidden1_num_units': 5}
mean: -0.00080, std: 0.00008, params: {'hidden0_num_units': 22, 'hidden1_num_units': 6}
mean: -0.00080, std: 0.00007, params: {'hidden0_num_units': 22, 'hidden1_num_units': 7}
mean: -0.00080, std: 0.00008, params: {'hidden0_num_units': 22, 'hidden1_num_units': 8}
mean: -0.00078, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 9}
mean: -0.00079, std: 0.00007, params: {'hidden0_num_units': 22, 'hidden1_num_units': 10}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 22, 'hidden1_num_units': 11}
mean: -0.00079, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 12}
mean: -0.00080, std: 0.00008, params: {'hidden0_num_units': 22, 'hidden1_num_units': 13}
mean: -0.00081, std: 0.00004, params: {'hidden0_num_units': 22, 'hidden1_num_units': 14}
mean: -0.00086, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 15}
mean: -0.00078, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 16}
mean: -0.00081, std: 0.00004, params: {'hidden0_num_units': 22, 'hidden1_num_units': 17}
mean: -0.00083, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 18}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 22, 'hidden1_num_units': 19}
mean: -0.00082, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 20}
mean: -0.00078, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 21}
mean: -0.00084, std: 0.00004, params: {'hidden0_num_units': 22, 'hidden1_num_units': 22}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 22, 'hidden1_num_units': 23}
mean: -0.00082, std: 0.00005, params: {'hidden0_num_units': 22, 'hidden1_num_units': 24}
mean: -0.00084, std: 0.00004, params: {'hidden0_num_units': 23, 'hidden1_num_units': 4}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 23, 'hidden1_num_units': 5}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 6}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 23, 'hidden1_num_units': 7}
mean: -0.00084, std: 0.00004, params: {'hidden0_num_units': 23, 'hidden1_num_units': 8}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 9}
mean: -0.00085, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 10}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 11}
mean: -0.00082, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 12}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 13}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 14}
mean: -0.00087, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 15}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 16}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 17}
mean: -0.00085, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 18}
mean: -0.00085, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 19}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 23, 'hidden1_num_units': 20}
mean: -0.00085, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 21}
mean: -0.00086, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 22}
mean: -0.00086, std: 0.00008, params: {'hidden0_num_units': 23, 'hidden1_num_units': 23}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 23, 'hidden1_num_units': 24}
mean: -0.00086, std: 0.00008, params: {'hidden0_num_units': 24, 'hidden1_num_units': 4}
mean: -0.00087, std: 0.00008, params: {'hidden0_num_units': 24, 'hidden1_num_units': 5}
mean: -0.00087, std: 0.00007, params: {'hidden0_num_units': 24, 'hidden1_num_units': 6}
mean: -0.00087, std: 0.00003, params: {'hidden0_num_units': 24, 'hidden1_num_units': 7}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 8}
mean: -0.00087, std: 0.00004, params: {'hidden0_num_units': 24, 'hidden1_num_units': 9}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 10}
mean: -0.00088, std: 0.00003, params: {'hidden0_num_units': 24, 'hidden1_num_units': 11}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 12}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 13}
mean: -0.00087, std: 0.00008, params: {'hidden0_num_units': 24, 'hidden1_num_units': 14}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 15}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 16}
mean: -0.00086, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 17}
mean: -0.00087, std: 0.00004, params: {'hidden0_num_units': 24, 'hidden1_num_units': 18}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 24, 'hidden1_num_units': 19}
mean: -0.00086, std: 0.00004, params: {'hidden0_num_units': 24, 'hidden1_num_units': 20}
mean: -0.00085, std: 0.00005, params: {'hidden0_num_units': 24, 'hidden1_num_units': 21}
mean: -0.00083, std: 0.00003, params: {'hidden0_num_units': 24, 'hidden1_num_units': 22}
mean: -0.00083, std: 0.00007, params: {'hidden0_num_units': 24, 'hidden1_num_units': 23}
mean: -0.00087, std: 0.00004, params: {'hidden0_num_units': 24, 'hidden1_num_units': 24}
The best estimator was:

{'hidden0_num_units': 19, 'hidden1_num_units': 9}
